1e6.xyz
1  SP_EE(Eh)=-3483.15969723, gcorr(Eh)=1.13614343, G(Eh)=-3482.02355380, Rel. G(kcal/mol)=0.00
43 SP_EE(Eh)=-2954.17338010, gcorr(Eh)=1.10002860, G(Eh)=-2953.07335150, Rel. G(kcal/mol)=5.60
44 SP_EE(Eh)=-2954.17455040, gcorr(Eh)=1.10125910, G(Eh)=-2953.07329130, Rel. G(kcal/mol)=5.64
45 SP_EE(Eh)=-2954.17381338, gcorr(Eh)=1.10053655, G(Eh)=-2953.07327683, Rel. G(kcal/mol)=5.65
46 SP_EE(Eh)=-2954.17336346, gcorr(Eh)=1.10015789, G(Eh)=-2953.07320557, Rel. G(kcal/mol)=5.69
47 SP_EE(Eh)=-2954.17353547, gcorr(Eh)=1.10046058, G(Eh)=-2953.07307489, Rel. G(kcal/mol)=5.78
48 SP_EE(Eh)=-2954.17407403, gcorr(Eh)=1.10104871, G(Eh)=-2953.07302532, Rel. G(kcal/mol)=5.81
49 SP_EE(Eh)=-2954.17374807, gcorr(Eh)=1.10079394, G(Eh)=-2953.07295413, Rel. G(kcal/mol)=5.85
50 SP_EE(Eh)=-2954.17438632, gcorr(Eh)=1.10147326, G(Eh)=-2953.07291306, Rel. G(kcal/mol)=5.88
51 SP_EE(Eh)=-2954.17399479, gcorr(Eh)=1.10119441, G(Eh)=-2953.07280038, Rel. G(kcal/mol)=5.95
52 SP_EE(Eh)=-2954.17465782, gcorr(Eh)=1.10188330, G(Eh)=-2953.07277452, Rel. G(kcal/mol)=5.96
53 SP_EE(Eh)=-2954.17453989, gcorr(Eh)=1.10180895, G(Eh)=-2953.07273094, Rel. G(kcal/mol)=5.99
54 SP_EE(Eh)=-2954.17296991, gcorr(Eh)=1.10025235, G(Eh)=-2953.07271756, Rel. G(kcal/mol)=6.00
55 SP_EE(Eh)=-2954.17407616, gcorr(Eh)=1.10143341, G(Eh)=-2953.07264275, Rel. G(kcal/mol)=6.05
56 SP_EE(Eh)=-2954.17412503, gcorr(Eh)=1.10166608, G(Eh)=-2953.07245895, Rel. G(kcal/mol)=6.16
57 SP_EE(Eh)=-2954.17406753, gcorr(Eh)=1.10165942, G(Eh)=-2953.07240811, Rel. G(kcal/mol)=6.19
58 SP_EE(Eh)=-2954.17129531, gcorr(Eh)=1.09903441, G(Eh)=-2953.07226090, Rel. G(kcal/mol)=6.29
59 SP_EE(Eh)=-2954.17318819, gcorr(Eh)=1.10100733, G(Eh)=-2953.07218086, Rel. G(kcal/mol)=6.34
60 SP_EE(Eh)=-2954.17221364, gcorr(Eh)=1.10010406, G(Eh)=-2953.07210958, Rel. G(kcal/mol)=6.38
61 SP_EE(Eh)=-2954.17300413, gcorr(Eh)=1.10104662, G(Eh)=-2953.07195751, Rel. G(kcal/mol)=6.48
62 SP_EE(Eh)=-2954.17182939, gcorr(Eh)=1.09997476, G(Eh)=-2953.07185463, Rel. G(kcal/mol)=6.54
63 SP_EE(Eh)=-2954.17312016, gcorr(Eh)=1.10131021, G(Eh)=-2953.07180995, Rel. G(kcal/mol)=6.57
64 SP_EE(Eh)=-2954.17232780, gcorr(Eh)=1.10059540, G(Eh)=-2953.07173240, Rel. G(kcal/mol)=6.62
65 SP_EE(Eh)=-2954.17335032, gcorr(Eh)=1.10170487, G(Eh)=-2953.07164545, Rel. G(kcal/mol)=6.67
66 SP_EE(Eh)=-2954.17218036, gcorr(Eh)=1.10057085, G(Eh)=-2953.07160951, Rel. G(kcal/mol)=6.70
67 SP_EE(Eh)=-2954.17249111, gcorr(Eh)=1.10117114, G(Eh)=-2953.07131997, Rel. G(kcal/mol)=6.88
68 SP_EE(Eh)=-2954.17120593, gcorr(Eh)=1.09995481, G(Eh)=-2953.07125112, Rel. G(kcal/mol)=6.92
69 SP_EE(Eh)=-2954.17048920, gcorr(Eh)=1.09945504, G(Eh)=-2953.07103416, Rel. G(kcal/mol)=7.06
70 SP_EE(Eh)=-2954.17274380, gcorr(Eh)=1.10176985, G(Eh)=-2953.07097395, Rel. G(kcal/mol)=7.09
71 SP_EE(Eh)=-2954.17238016, gcorr(Eh)=1.10142765, G(Eh)=-2953.07095251, Rel. G(kcal/mol)=7.11
72 SP_EE(Eh)=-2954.17177330, gcorr(Eh)=1.10082799, G(Eh)=-2953.07094531, Rel. G(kcal/mol)=7.11
73 SP_EE(Eh)=-2954.17226197, gcorr(Eh)=1.10149605, G(Eh)=-2953.07076592, Rel. G(kcal/mol)=7.23
74 SP_EE(Eh)=-2954.17270526, gcorr(Eh)=1.10205862, G(Eh)=-2953.07064664, Rel. G(kcal/mol)=7.30
75 SP_EE(Eh)=-2954.17073575, gcorr(Eh)=1.10015648, G(Eh)=-2953.07057927, Rel. G(kcal/mol)=7.34
76 SP_EE(Eh)=-2954.17206743, gcorr(Eh)=1.10174607, G(Eh)=-2953.07032136, Rel. G(kcal/mol)=7.50
77 SP_EE(Eh)=-2954.17072786, gcorr(Eh)=1.10042252, G(Eh)=-2953.07030534, Rel. G(kcal/mol)=7.51
78 SP_EE(Eh)=-2954.17171782, gcorr(Eh)=1.10176634, G(Eh)=-2953.06995148, Rel. G(kcal/mol)=7.74
79 SP_EE(Eh)=-2954.17022008, gcorr(Eh)=1.10046513, G(Eh)=-2953.06975495, Rel. G(kcal/mol)=7.86
80 SP_EE(Eh)=-2954.17046162, gcorr(Eh)=1.10083792, G(Eh)=-2953.06962370, Rel. G(kcal/mol)=7.94

4e11.xyz
1  SP_EE(Eh)=-2570.68050781, gcorr(Eh)=1.00023161, G(Eh)=-2569.68027620, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2570.67956140, gcorr(Eh)=0.99957047, G(Eh)=-2569.67999093, Rel. G(kcal/mol)=0.18
3  SP_EE(Eh)=-2570.67946207, gcorr(Eh)=1.00071296, G(Eh)=-2569.67874911, Rel. G(kcal/mol)=0.96
4  SP_EE(Eh)=-2570.67884983, gcorr(Eh)=1.00053021, G(Eh)=-2569.67831962, Rel. G(kcal/mol)=1.23
5  SP_EE(Eh)=-2570.67838450, gcorr(Eh)=1.00034363, G(Eh)=-2569.67804087, Rel. G(kcal/mol)=1.40
6  SP_EE(Eh)=-2570.67744066, gcorr(Eh)=0.99962971, G(Eh)=-2569.67781095, Rel. G(kcal/mol)=1.55
7  SP_EE(Eh)=-2570.67608529, gcorr(Eh)=0.99868406, G(Eh)=-2569.67740123, Rel. G(kcal/mol)=1.80
8  SP_EE(Eh)=-2570.67740911, gcorr(Eh)=1.00004982, G(Eh)=-2569.67735929, Rel. G(kcal/mol)=1.83
9  SP_EE(Eh)=-2570.67581067, gcorr(Eh)=0.99854352, G(Eh)=-2569.67726715, Rel. G(kcal/mol)=1.89
10 SP_EE(Eh)=-2570.67620221, gcorr(Eh)=0.99960287, G(Eh)=-2569.67659934, Rel. G(kcal/mol)=2.31
11 SP_EE(Eh)=-2570.67627803, gcorr(Eh)=1.00012709, G(Eh)=-2569.67615094, Rel. G(kcal/mol)=2.59
12 SP_EE(Eh)=-2570.67753631, gcorr(Eh)=1.00164432, G(Eh)=-2569.67589199, Rel. G(kcal/mol)=2.75
13 SP_EE(Eh)=-2570.67650385, gcorr(Eh)=1.00078318, G(Eh)=-2569.67572067, Rel. G(kcal/mol)=2.86
14 SP_EE(Eh)=-2570.67702066, gcorr(Eh)=1.00183990, G(Eh)=-2569.67518076, Rel. G(kcal/mol)=3.20
15 SP_EE(Eh)=-2570.67320687, gcorr(Eh)=0.99847774, G(Eh)=-2569.67472913, Rel. G(kcal/mol)=3.48
16 SP_EE(Eh)=-2570.67479651, gcorr(Eh)=1.00039556, G(Eh)=-2569.67440095, Rel. G(kcal/mol)=3.69
17 SP_EE(Eh)=-2570.67499144, gcorr(Eh)=1.00075190, G(Eh)=-2569.67423954, Rel. G(kcal/mol)=3.79
18 SP_EE(Eh)=-2570.67427585, gcorr(Eh)=1.00006685, G(Eh)=-2569.67420900, Rel. G(kcal/mol)=3.81
19 SP_EE(Eh)=-2570.67410494, gcorr(Eh)=0.99995392, G(Eh)=-2569.67415102, Rel. G(kcal/mol)=3.84
20 SP_EE(Eh)=-2570.67492822, gcorr(Eh)=1.00114847, G(Eh)=-2569.67377975, Rel. G(kcal/mol)=4.08
21 SP_EE(Eh)=-2570.67399908, gcorr(Eh)=1.00165645, G(Eh)=-2569.67234263, Rel. G(kcal/mol)=4.98
22 SP_EE(Eh)=-2570.67314127, gcorr(Eh)=1.00162451, G(Eh)=-2569.67151676, Rel. G(kcal/mol)=5.50
23 SP_EE(Eh)=-2570.66966940, gcorr(Eh)=0.99962301, G(Eh)=-2569.67004639, Rel. G(kcal/mol)=6.42

4e4.xyz
1  SP_EE(Eh)=-2686.20062702, gcorr(Eh)=1.04168500, G(Eh)=-2685.15894202, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2686.19793574, gcorr(Eh)=1.04103900, G(Eh)=-2685.15689674, Rel. G(kcal/mol)=1.28
3  SP_EE(Eh)=-2686.19743447, gcorr(Eh)=1.04248889, G(Eh)=-2685.15494558, Rel. G(kcal/mol)=2.51
4  SP_EE(Eh)=-2686.19832541, gcorr(Eh)=1.04431891, G(Eh)=-2685.15400650, Rel. G(kcal/mol)=3.10
5  SP_EE(Eh)=-2686.19734191, gcorr(Eh)=1.04461531, G(Eh)=-2685.15272660, Rel. G(kcal/mol)=3.90
6  SP_EE(Eh)=-2686.19513877, gcorr(Eh)=1.04267468, G(Eh)=-2685.15246409, Rel. G(kcal/mol)=4.06
7  SP_EE(Eh)=-2686.19584819, gcorr(Eh)=1.04358478, G(Eh)=-2685.15226341, Rel. G(kcal/mol)=4.19
8  SP_EE(Eh)=-2686.19385750, gcorr(Eh)=1.04159947, G(Eh)=-2685.15225803, Rel. G(kcal/mol)=4.19
9  SP_EE(Eh)=-2686.19619934, gcorr(Eh)=1.04394273, G(Eh)=-2685.15225661, Rel. G(kcal/mol)=4.20
10 SP_EE(Eh)=-2686.19581849, gcorr(Eh)=1.04456082, G(Eh)=-2685.15125767, Rel. G(kcal/mol)=4.82
11 SP_EE(Eh)=-2686.19451804, gcorr(Eh)=1.04349150, G(Eh)=-2685.15102654, Rel. G(kcal/mol)=4.97
12 SP_EE(Eh)=-2686.19362602, gcorr(Eh)=1.04277829, G(Eh)=-2685.15084773, Rel. G(kcal/mol)=5.08
13 SP_EE(Eh)=-2686.19343632, gcorr(Eh)=1.04278920, G(Eh)=-2685.15064712, Rel. G(kcal/mol)=5.21
14 SP_EE(Eh)=-2686.19437104, gcorr(Eh)=1.04398190, G(Eh)=-2685.15038914, Rel. G(kcal/mol)=5.37
15 SP_EE(Eh)=-2686.19371239, gcorr(Eh)=1.04382074, G(Eh)=-2685.14989165, Rel. G(kcal/mol)=5.68
16 SP_EE(Eh)=-2686.19411127, gcorr(Eh)=1.04429562, G(Eh)=-2685.14981565, Rel. G(kcal/mol)=5.73
17 SP_EE(Eh)=-2686.19336141, gcorr(Eh)=1.04391431, G(Eh)=-2685.14944710, Rel. G(kcal/mol)=5.96
18 SP_EE(Eh)=-2686.19462102, gcorr(Eh)=1.04518418, G(Eh)=-2685.14943684, Rel. G(kcal/mol)=5.96
19 SP_EE(Eh)=-2686.19294501, gcorr(Eh)=1.04354214, G(Eh)=-2685.14940287, Rel. G(kcal/mol)=5.99
20 SP_EE(Eh)=-2686.19113860, gcorr(Eh)=1.04214245, G(Eh)=-2685.14899615, Rel. G(kcal/mol)=6.24
21 SP_EE(Eh)=-2686.19131774, gcorr(Eh)=1.04275467, G(Eh)=-2685.14856307, Rel. G(kcal/mol)=6.51
22 SP_EE(Eh)=-2686.19045138, gcorr(Eh)=1.04244500, G(Eh)=-2685.14800638, Rel. G(kcal/mol)=6.86
23 SP_EE(Eh)=-2686.19274295, gcorr(Eh)=1.04476566, G(Eh)=-2685.14797729, Rel. G(kcal/mol)=6.88
24 SP_EE(Eh)=-2686.19112836, gcorr(Eh)=1.04413344, G(Eh)=-2685.14699492, Rel. G(kcal/mol)=7.50
25 SP_EE(Eh)=-2686.19109288, gcorr(Eh)=1.04443927, G(Eh)=-2685.14665361, Rel. G(kcal/mol)=7.71
26 SP_EE(Eh)=-2686.19063589, gcorr(Eh)=1.04430857, G(Eh)=-2685.14632732, Rel. G(kcal/mol)=7.92
27 SP_EE(Eh)=-2686.18928102, gcorr(Eh)=1.04310467, G(Eh)=-2685.14617635, Rel. G(kcal/mol)=8.01
28 SP_EE(Eh)=-2686.19071571, gcorr(Eh)=1.04454281, G(Eh)=-2685.14617290, Rel. G(kcal/mol)=8.01
29 SP_EE(Eh)=-2686.19066571, gcorr(Eh)=1.04455125, G(Eh)=-2685.14611446, Rel. G(kcal/mol)=8.05
30 SP_EE(Eh)=-2686.18887340, gcorr(Eh)=1.04297678, G(Eh)=-2685.14589662, Rel. G(kcal/mol)=8.19
31 SP_EE(Eh)=-2686.18979606, gcorr(Eh)=1.04406056, G(Eh)=-2685.14573550, Rel. G(kcal/mol)=8.29
32 SP_EE(Eh)=-2686.18909874, gcorr(Eh)=1.04406538, G(Eh)=-2685.14503336, Rel. G(kcal/mol)=8.73
33 SP_EE(Eh)=-2686.18920341, gcorr(Eh)=1.04429006, G(Eh)=-2685.14491335, Rel. G(kcal/mol)=8.80
34 SP_EE(Eh)=-2686.18825338, gcorr(Eh)=1.04386634, G(Eh)=-2685.14438704, Rel. G(kcal/mol)=9.13
35 SP_EE(Eh)=-2686.18824717, gcorr(Eh)=1.04435346, G(Eh)=-2685.14389371, Rel. G(kcal/mol)=9.44
36 SP_EE(Eh)=-2686.18731686, gcorr(Eh)=1.04376610, G(Eh)=-2685.14355076, Rel. G(kcal/mol)=9.66

4e9.xyz
1  SP_EE(Eh)=-2648.10200750, gcorr(Eh)=1.03569891, G(Eh)=-2647.06630859, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2648.10058275, gcorr(Eh)=1.03615489, G(Eh)=-2647.06442786, Rel. G(kcal/mol)=1.18
3  SP_EE(Eh)=-2648.10148198, gcorr(Eh)=1.03709329, G(Eh)=-2647.06438869, Rel. G(kcal/mol)=1.20
4  SP_EE(Eh)=-2648.10088819, gcorr(Eh)=1.03701333, G(Eh)=-2647.06387486, Rel. G(kcal/mol)=1.53
5  SP_EE(Eh)=-2648.09998911, gcorr(Eh)=1.03684509, G(Eh)=-2647.06314402, Rel. G(kcal/mol)=1.99
6  SP_EE(Eh)=-2648.09925836, gcorr(Eh)=1.03776089, G(Eh)=-2647.06149747, Rel. G(kcal/mol)=3.02
7  SP_EE(Eh)=-2648.09740221, gcorr(Eh)=1.03821129, G(Eh)=-2647.05919092, Rel. G(kcal/mol)=4.47
8  SP_EE(Eh)=-2648.09452054, gcorr(Eh)=1.03547693, G(Eh)=-2647.05904361, Rel. G(kcal/mol)=4.56
9  SP_EE(Eh)=-2648.09558036, gcorr(Eh)=1.03654896, G(Eh)=-2647.05903140, Rel. G(kcal/mol)=4.57
10 SP_EE(Eh)=-2648.09469780, gcorr(Eh)=1.03590691, G(Eh)=-2647.05879089, Rel. G(kcal/mol)=4.72
11 SP_EE(Eh)=-2648.09501008, gcorr(Eh)=1.03673057, G(Eh)=-2647.05827951, Rel. G(kcal/mol)=5.04
12 SP_EE(Eh)=-2648.09453047, gcorr(Eh)=1.03644013, G(Eh)=-2647.05809034, Rel. G(kcal/mol)=5.16
13 SP_EE(Eh)=-2648.09417141, gcorr(Eh)=1.03628580, G(Eh)=-2647.05788561, Rel. G(kcal/mol)=5.29
14 SP_EE(Eh)=-2648.09371168, gcorr(Eh)=1.03687945, G(Eh)=-2647.05683223, Rel. G(kcal/mol)=5.95
15 SP_EE(Eh)=-2648.09339585, gcorr(Eh)=1.03672529, G(Eh)=-2647.05667056, Rel. G(kcal/mol)=6.05
16 SP_EE(Eh)=-2648.09310091, gcorr(Eh)=1.03644305, G(Eh)=-2647.05665786, Rel. G(kcal/mol)=6.06
17 SP_EE(Eh)=-2648.09428741, gcorr(Eh)=1.03829856, G(Eh)=-2647.05598885, Rel. G(kcal/mol)=6.48
18 SP_EE(Eh)=-2648.09140105, gcorr(Eh)=1.03547532, G(Eh)=-2647.05592573, Rel. G(kcal/mol)=6.52
19 SP_EE(Eh)=-2648.09090396, gcorr(Eh)=1.03623655, G(Eh)=-2647.05466741, Rel. G(kcal/mol)=7.30
20 SP_EE(Eh)=-2648.09269563, gcorr(Eh)=1.03852523, G(Eh)=-2647.05417040, Rel. G(kcal/mol)=7.62
21 SP_EE(Eh)=-2648.08787832, gcorr(Eh)=1.03444422, G(Eh)=-2647.05343410, Rel. G(kcal/mol)=8.08
22 SP_EE(Eh)=-2648.08997520, gcorr(Eh)=1.03659334, G(Eh)=-2647.05338186, Rel. G(kcal/mol)=8.11
23 SP_EE(Eh)=-2648.08756885, gcorr(Eh)=1.03475348, G(Eh)=-2647.05281537, Rel. G(kcal/mol)=8.47
24 SP_EE(Eh)=-2648.08964196, gcorr(Eh)=1.03722407, G(Eh)=-2647.05241789, Rel. G(kcal/mol)=8.72
25 SP_EE(Eh)=-2648.08927482, gcorr(Eh)=1.03864209, G(Eh)=-2647.05063273, Rel. G(kcal/mol)=9.84

4r10.xyz
1  SP_EE(Eh)=-2954.18127852, gcorr(Eh)=1.10027530, G(Eh)=-2953.08100322, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2954.17982277, gcorr(Eh)=1.10053991, G(Eh)=-2953.07928286, Rel. G(kcal/mol)=1.08
3  SP_EE(Eh)=-2954.17953505, gcorr(Eh)=1.10050211, G(Eh)=-2953.07903294, Rel. G(kcal/mol)=1.24
4  SP_EE(Eh)=-2954.17922776, gcorr(Eh)=1.10124408, G(Eh)=-2953.07798368, Rel. G(kcal/mol)=1.89
5  SP_EE(Eh)=-2954.17835182, gcorr(Eh)=1.10057800, G(Eh)=-2953.07777382, Rel. G(kcal/mol)=2.03
6  SP_EE(Eh)=-2954.17764698, gcorr(Eh)=1.10017900, G(Eh)=-2953.07746798, Rel. G(kcal/mol)=2.22
7  SP_EE(Eh)=-2954.17827025, gcorr(Eh)=1.10089424, G(Eh)=-2953.07737601, Rel. G(kcal/mol)=2.28
8  SP_EE(Eh)=-2954.17702171, gcorr(Eh)=1.09965938, G(Eh)=-2953.07736233, Rel. G(kcal/mol)=2.28
9  SP_EE(Eh)=-2954.17827208, gcorr(Eh)=1.10140800, G(Eh)=-2953.07686408, Rel. G(kcal/mol)=2.60
10 SP_EE(Eh)=-2954.17851645, gcorr(Eh)=1.10193931, G(Eh)=-2953.07657714, Rel. G(kcal/mol)=2.78
11 SP_EE(Eh)=-2954.17648755, gcorr(Eh)=1.10003799, G(Eh)=-2953.07644956, Rel. G(kcal/mol)=2.86
12 SP_EE(Eh)=-2954.17678324, gcorr(Eh)=1.10040969, G(Eh)=-2953.07637355, Rel. G(kcal/mol)=2.91
13 SP_EE(Eh)=-2954.17674426, gcorr(Eh)=1.10038647, G(Eh)=-2953.07635779, Rel. G(kcal/mol)=2.92
14 SP_EE(Eh)=-2954.17635103, gcorr(Eh)=1.10007435, G(Eh)=-2953.07627668, Rel. G(kcal/mol)=2.97
15 SP_EE(Eh)=-2954.17575377, gcorr(Eh)=1.09951741, G(Eh)=-2953.07623636, Rel. G(kcal/mol)=2.99
16 SP_EE(Eh)=-2954.17694627, gcorr(Eh)=1.10111544, G(Eh)=-2953.07583083, Rel. G(kcal/mol)=3.25
17 SP_EE(Eh)=-2954.17746406, gcorr(Eh)=1.10200409, G(Eh)=-2953.07545997, Rel. G(kcal/mol)=3.48
18 SP_EE(Eh)=-2954.17544140, gcorr(Eh)=1.09998834, G(Eh)=-2953.07545306, Rel. G(kcal/mol)=3.48
19 SP_EE(Eh)=-2954.17427769, gcorr(Eh)=1.09889469, G(Eh)=-2953.07538300, Rel. G(kcal/mol)=3.53
20 SP_EE(Eh)=-2954.17346530, gcorr(Eh)=1.09811837, G(Eh)=-2953.07534693, Rel. G(kcal/mol)=3.55
21 SP_EE(Eh)=-2954.17554577, gcorr(Eh)=1.10052059, G(Eh)=-2953.07502518, Rel. G(kcal/mol)=3.75
22 SP_EE(Eh)=-2954.17497940, gcorr(Eh)=1.10042903, G(Eh)=-2953.07455037, Rel. G(kcal/mol)=4.05
23 SP_EE(Eh)=-2954.17549397, gcorr(Eh)=1.10107089, G(Eh)=-2953.07442308, Rel. G(kcal/mol)=4.13
24 SP_EE(Eh)=-2954.17565449, gcorr(Eh)=1.10133015, G(Eh)=-2953.07432434, Rel. G(kcal/mol)=4.19
25 SP_EE(Eh)=-2954.17438833, gcorr(Eh)=1.10010274, G(Eh)=-2953.07428559, Rel. G(kcal/mol)=4.22
26 SP_EE(Eh)=-2954.17429203, gcorr(Eh)=1.10022529, G(Eh)=-2953.07406674, Rel. G(kcal/mol)=4.35
27 SP_EE(Eh)=-2954.17472940, gcorr(Eh)=1.10067124, G(Eh)=-2953.07405816, Rel. G(kcal/mol)=4.36
28 SP_EE(Eh)=-2954.17453661, gcorr(Eh)=1.10054428, G(Eh)=-2953.07399233, Rel. G(kcal/mol)=4.40
29 SP_EE(Eh)=-2954.17539880, gcorr(Eh)=1.10142860, G(Eh)=-2953.07397020, Rel. G(kcal/mol)=4.41
30 SP_EE(Eh)=-2954.17413368, gcorr(Eh)=1.10030692, G(Eh)=-2953.07382676, Rel. G(kcal/mol)=4.50
31 SP_EE(Eh)=-2954.17591096, gcorr(Eh)=1.10209533, G(Eh)=-2953.07381563, Rel. G(kcal/mol)=4.51
32 SP_EE(Eh)=-2954.17486574, gcorr(Eh)=1.10112107, G(Eh)=-2953.07374467, Rel. G(kcal/mol)=4.55
33 SP_EE(Eh)=-2954.17517070, gcorr(Eh)=1.10149651, G(Eh)=-2953.07367419, Rel. G(kcal/mol)=4.60
34 SP_EE(Eh)=-2954.17380761, gcorr(Eh)=1.10027836, G(Eh)=-2953.07352925, Rel. G(kcal/mol)=4.69
35 SP_EE(Eh)=-2954.17294242, gcorr(Eh)=1.09942139, G(Eh)=-2953.07352103, Rel. G(kcal/mol)=4.70
36 SP_EE(Eh)=-2954.17266464, gcorr(Eh)=1.09917690, G(Eh)=-2953.07348774, Rel. G(kcal/mol)=4.72
37 SP_EE(Eh)=-2954.17461984, gcorr(Eh)=1.10131016, G(Eh)=-2953.07330968, Rel. G(kcal/mol)=4.83
38 SP_EE(Eh)=-2954.17323909, gcorr(Eh)=1.10003769, G(Eh)=-2953.07320140, Rel. G(kcal/mol)=4.90
39 SP_EE(Eh)=-2954.17453816, gcorr(Eh)=1.10213096, G(Eh)=-2953.07240720, Rel. G(kcal/mol)=5.39
40 SP_EE(Eh)=-2954.17359079, gcorr(Eh)=1.10123216, G(Eh)=-2953.07235863, Rel. G(kcal/mol)=5.42
41 SP_EE(Eh)=-2954.17342111, gcorr(Eh)=1.10130111, G(Eh)=-2953.07212000, Rel. G(kcal/mol)=5.57
42 SP_EE(Eh)=-2954.17129174, gcorr(Eh)=1.09924933, G(Eh)=-2953.07204241, Rel. G(kcal/mol)=5.62
43 SP_EE(Eh)=-2954.17227431, gcorr(Eh)=1.10045505, G(Eh)=-2953.07181926, Rel. G(kcal/mol)=5.76
44 SP_EE(Eh)=-2954.17185926, gcorr(Eh)=1.10018979, G(Eh)=-2953.07166947, Rel. G(kcal/mol)=5.86
45 SP_EE(Eh)=-2954.17222452, gcorr(Eh)=1.10065823, G(Eh)=-2953.07156629, Rel. G(kcal/mol)=5.92
46 SP_EE(Eh)=-2954.17143227, gcorr(Eh)=1.10271335, G(Eh)=-2953.06871892, Rel. G(kcal/mol)=7.71

4r11.xyz
1  SP_EE(Eh)=-2570.68393673, gcorr(Eh)=1.00108566, G(Eh)=-2569.68285107, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2570.68063846, gcorr(Eh)=0.99965090, G(Eh)=-2569.68098756, Rel. G(kcal/mol)=1.17
3  SP_EE(Eh)=-2570.67867240, gcorr(Eh)=0.99927447, G(Eh)=-2569.67939793, Rel. G(kcal/mol)=2.17
4  SP_EE(Eh)=-2570.67785643, gcorr(Eh)=0.99981381, G(Eh)=-2569.67804262, Rel. G(kcal/mol)=3.02
5  SP_EE(Eh)=-2570.67726550, gcorr(Eh)=0.99923913, G(Eh)=-2569.67802637, Rel. G(kcal/mol)=3.03
6  SP_EE(Eh)=-2570.67841043, gcorr(Eh)=1.00060419, G(Eh)=-2569.67780624, Rel. G(kcal/mol)=3.17
7  SP_EE(Eh)=-2570.67837801, gcorr(Eh)=1.00078610, G(Eh)=-2569.67759191, Rel. G(kcal/mol)=3.30
8  SP_EE(Eh)=-2570.67780097, gcorr(Eh)=1.00047764, G(Eh)=-2569.67732333, Rel. G(kcal/mol)=3.47
9  SP_EE(Eh)=-2570.67753167, gcorr(Eh)=1.00112453, G(Eh)=-2569.67640714, Rel. G(kcal/mol)=4.04
10 SP_EE(Eh)=-2570.67645467, gcorr(Eh)=1.00064714, G(Eh)=-2569.67580753, Rel. G(kcal/mol)=4.42

4r4.xyz
1  SP_EE(Eh)=-2686.20090672, gcorr(Eh)=1.04314789, G(Eh)=-2685.15775883, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2686.19802285, gcorr(Eh)=1.04092144, G(Eh)=-2685.15710141, Rel. G(kcal/mol)=0.41
3  SP_EE(Eh)=-2686.20105934, gcorr(Eh)=1.04500323, G(Eh)=-2685.15605611, Rel. G(kcal/mol)=1.07

4r9.xyz
1  SP_EE(Eh)=-2648.10724059, gcorr(Eh)=1.03701814, G(Eh)=-2647.07022245, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2648.10053624, gcorr(Eh)=1.03612898, G(Eh)=-2647.06440726, Rel. G(kcal/mol)=3.65
3  SP_EE(Eh)=-2648.09900224, gcorr(Eh)=1.03762320, G(Eh)=-2647.06137904, Rel. G(kcal/mol)=5.55
4  SP_EE(Eh)=-2648.09786619, gcorr(Eh)=1.03651230, G(Eh)=-2647.06135389, Rel. G(kcal/mol)=5.57
5  SP_EE(Eh)=-2648.09728726, gcorr(Eh)=1.03632267, G(Eh)=-2647.06096459, Rel. G(kcal/mol)=5.81
6  SP_EE(Eh)=-2648.09707356, gcorr(Eh)=1.03705276, G(Eh)=-2647.06002080, Rel. G(kcal/mol)=6.40

5e10.xyz
1  SP_EE(Eh)=-2993.49026627, gcorr(Eh)=1.13029874, G(Eh)=-2992.35996753, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2993.48576879, gcorr(Eh)=1.12892444, G(Eh)=-2992.35684435, Rel. G(kcal/mol)=1.96
3  SP_EE(Eh)=-2993.48229085, gcorr(Eh)=1.12697447, G(Eh)=-2992.35531638, Rel. G(kcal/mol)=2.92
4  SP_EE(Eh)=-2993.48595973, gcorr(Eh)=1.13086475, G(Eh)=-2992.35509498, Rel. G(kcal/mol)=3.06
5  SP_EE(Eh)=-2993.48356524, gcorr(Eh)=1.12866262, G(Eh)=-2992.35490262, Rel. G(kcal/mol)=3.18
6  SP_EE(Eh)=-2993.48284528, gcorr(Eh)=1.12795689, G(Eh)=-2992.35488839, Rel. G(kcal/mol)=3.19
7  SP_EE(Eh)=-2993.48273451, gcorr(Eh)=1.12788603, G(Eh)=-2992.35484848, Rel. G(kcal/mol)=3.21
8  SP_EE(Eh)=-2993.48574691, gcorr(Eh)=1.13139458, G(Eh)=-2992.35435233, Rel. G(kcal/mol)=3.52
9  SP_EE(Eh)=-2993.48368182, gcorr(Eh)=1.12983584, G(Eh)=-2992.35384598, Rel. G(kcal/mol)=3.84
10 SP_EE(Eh)=-2993.48267046, gcorr(Eh)=1.12897117, G(Eh)=-2992.35369929, Rel. G(kcal/mol)=3.93
